index,forest_length,likelihood,prior,posterior,leaves
0,3.15419,-5234.61,-41.7766,-5276.39,"{t1|t10|t2|t3|t4|t5|t6|t8|t9}|{t7}"
1,3.43156,-5123.74,-41.7973,-5165.54,"{t1|t2|t3|t4|t5|t6|t7|t8|t9}|{t10}"
2,2.53982,-4930.54,-41.77,-4972.31,"{t10|t6|t9}|{t1|t2|t3|t4|t5|t7|t8}"
3,3.1655,-5106.74,-41.7927,-5148.53,"{t1|t10|t2|t3|t4|t5|t7|t8}|{t6|t9}"
4,3.42737,-5448.27,-41.7916,-5490.07,"{t1|t10|t2|t3|t5|t6|t7|t8|t9}|{t4}"
5,3.48316,-5361.74,-41.8034,-5403.55,"{t1|t10|t2|t3|t5|t6|t7|t9}|{t4|t8}"
6,3.02587,-5000.92,-41.7858,-5042.71,"{t1|t10|t2|t4|t5|t6|t7|t8|t9}|{t3}"
7,3.48582,-5129.33,-41.7966,-5171.12,"{t1|t2|t3|t4|t5|t6|t7|t8|t9}|{t10}"
8,3.2167,-5362.56,-41.7752,-5404.34,"{t1|t10|t2|t3|t5|t6|t7|t9}|{t4|t8}"
9,3.14913,-5051.33,-41.7798,-5093.11,"{t1|t10|t2|t3|t6|t7|t9}|{t4|t5|t8}"
10,3.41481,-5317.63,-41.8009,-5359.43,"{t1|t10|t2|t3|t4|t5|t6|t7|t9}|{t8}"
11,3.19954,-5235.51,-41.7829,-5277.29,"{t1|t10|t2|t3|t4|t5|t6|t8|t9}|{t7}"
12,3.43347,-5372.62,-41.7936,-5414.41,"{t1|t10|t2|t3|t4|t6|t7|t8|t9}|{t5}"
13,3.21512,-5236.97,-41.7876,-5278.76,"{t1|t10|t2|t3|t4|t5|t6|t8|t9}|{t7}"
14,3.33447,-5276.49,-41.7861,-5318.27,"{t1|t10|t3|t4|t5|t6|t7|t8|t9}|{t2}"
15,3.30585,-5041.17,-41.7933,-5082.96,"{t10|t4|t5|t6|t8|t9}|{t1|t2|t3|t7}"
16,3.20945,-5234.28,-41.7828,-5276.06,"{t1|t10|t2|t3|t4|t5|t6|t8|t9}|{t7}"
17,3.08691,-5105.71,-41.7792,-5147.49,"{t1|t10|t2|t3|t4|t5|t7|t8}|{t6|t9}"
18,3.29126,-5026.81,-41.7971,-5068.61,"{t10|t3|t4|t5|t6|t8|t9}|{t1|t2|t7}"
19,3.26734,-5144.89,-41.7864,-5186.67,"{t1|t10|t2|t3|t4|t5|t7|t8|t9}|{t6}"
20,3.19643,-5087.83,-41.7874,-5129.62,"{t1|t10|t3|t4|t5|t6|t8|t9}|{t2|t7}"
21,3.62651,-5282.57,-41.8127,-5324.39,"{t1|t10|t3|t4|t5|t6|t7|t8|t9}|{t2}"
22,3.05159,-5040.79,-41.7683,-5082.56,"{t10|t4|t5|t6|t8|t9}|{t1|t2|t3|t7}"
23,3.08825,-5092.26,-41.7714,-5134.04,"{t1|t10|t3|t4|t5|t6|t8|t9}|{t2|t7}"
24,3.23673,-5379.12,-41.7721,-5420.9,"{t1|t10|t2|t3|t4|t6|t7|t8|t9}|{t5}"
25,3.42352,-5234.89,-41.8032,-5276.69,"{t1|t10|t2|t3|t4|t5|t6|t8|t9}|{t7}"
26,3.15311,-5142.9,-41.7803,-5184.68,"{t1|t10|t2|t3|t4|t5|t7|t8|t9}|{t6}"
27,3.48252,-5372.35,-41.8002,-5414.15,"{t1|t10|t2|t3|t4|t6|t7|t8|t9}|{t5}"
28,3.26565,-5452.68,-41.7753,-5494.45,"{t1|t10|t2|t3|t5|t6|t7|t8|t9}|{t4}"
29,3.07698,-5052.25,-41.7834,-5094.03,"{t10|t2|t3|t4|t5|t6|t7|t8|t9}|{t1}"
30,3.19997,-5039.23,-41.7852,-5081.01,"{t10|t4|t5|t6|t8|t9}|{t1|t2|t3|t7}"
31,3.26199,-5104.86,-41.788,-5146.65,"{t1|t10|t2|t3|t4|t5|t7|t8}|{t6|t9}"
32,3.26813,-5236.3,-41.7861,-5278.08,"{t1|t10|t2|t3|t4|t5|t6|t8|t9}|{t7}"
33,3.32042,-5235.5,-41.7957,-5277.29,"{t1|t10|t2|t3|t4|t5|t6|t8|t9}|{t7}"
34,3.06862,-5055.71,-41.7856,-5097.49,"{t10|t2|t3|t4|t5|t6|t7|t8|t9}|{t1}"
35,3.04059,-5240.98,-41.7651,-5282.75,"{t1|t10|t2|t3|t4|t5|t6|t8|t9}|{t7}"
36,3.35226,-5356.59,-41.7886,-5398.38,"{t1|t10|t2|t3|t5|t6|t7|t9}|{t4|t8}"
37,3.31354,-5102.48,-41.8012,-5144.28,"{t1|t10|t2|t3|t4|t5|t7|t8}|{t6|t9}"
38,3.30532,-5374.39,-41.7821,-5416.17,"{t1|t10|t2|t3|t4|t6|t7|t8|t9}|{t5}"
39,3.07245,-5117.22,-41.7807,-5159,"{t1|t10|t2|t3|t4|t5|t6|t7|t8}|{t9}"
40,3.01335,-5112.82,-41.7725,-5154.59,"{t1|t10|t2|t3|t4|t5|t6|t7|t8}|{t9}"
41,2.63601,-4937.73,-41.7882,-4979.52,"{t10|t6|t9}|{t1|t2|t3|t4|t5|t7|t8}"
42,3.23723,-5119.36,-41.7801,-5161.14,"{t1|t2|t3|t4|t5|t6|t7|t8|t9}|{t10}"
