index,forest_length,likelihood,prior,posterior,merged_leaves
0,0.4,-1908.2,-2.30759,-1910.51,3
1,0.198045,-1025.12,-2.31797,-1027.44,2
2,0.612322,-1495.87,-2.32906,-1498.2,3
3,0.282639,-1029.99,-2.31385,-1032.3,2
4,0.896582,-1630.31,-2.31293,-1632.62,3
5,0.83241,-1631.12,-2.31664,-1633.43,3
6,1.23971,-1857.9,-2.30321,-1860.2,3
7,0.232195,-1025.85,-2.31281,-1028.17,2
8,0.918127,-1630.79,-2.31498,-1633.11,3
9,1.0878,-1859.25,-2.30419,-1861.56,3
10,0.948162,-1630.48,-2.31428,-1632.79,3
11,0.958644,-1754.04,-2.31141,-1756.35,3
12,1.15781,-1857.1,-2.30303,-1859.4,3
13,0.98169,-1754.03,-2.31345,-1756.35,3
14,0.924509,-1754.06,-2.31134,-1756.37,3
15,0.619042,-1496.76,-2.32855,-1499.09,3
16,1.1179,-1758.23,-2.31018,-1760.54,3
17,0.207303,-1025.11,-2.31459,-1027.43,2
18,1.04206,-2336.29,-4.61866,-2340.91,4
19,0.201991,-1025.1,-2.31933,-1027.42,2
20,1.02498,-1754.05,-2.31245,-1756.36,3
21,1.06549,-1858.15,-2.30366,-1860.45,3
22,0.609434,-1495.71,-2.33079,-1498.04,3
23,1.05708,-2336.38,-4.62267,-2341,4
24,1.22336,-1857.56,-2.3043,-1859.86,3
25,1.01895,-1754.53,-2.31132,-1756.84,3
26,0.238511,-1026.2,-2.3147,-1028.51,2
27,1.11538,-1856.84,-2.30282,-1859.14,3
28,0.968235,-1630.16,-2.31373,-1632.47,3
29,1.03481,-2340.87,-4.62127,-2345.49,4
30,0.62489,-1495.72,-2.33468,-1498.06,3
31,0.238393,-1026.19,-2.31655,-1028.51,2
32,1.04392,-1755.84,-2.31161,-1758.15,3
33,0.879517,-1755.17,-2.31354,-1757.48,3
34,1.00586,-2336.21,-4.6187,-2340.83,4
35,0.923566,-1754.09,-2.31151,-1756.41,3
36,0.849507,-1630.77,-2.31505,-1633.09,3
37,0.21892,-1025.33,-2.31592,-1027.65,2
38,1.07681,-1858.96,-2.30329,-1861.26,3
39,0.561781,-1495.22,-2.33063,-1497.55,3
40,0.501551,-1499.76,-2.32949,-1502.09,3
41,0.570221,-1497.46,-2.33202,-1499.8,3
42,0.246014,-1026.68,-2.31602,-1028.99,2
43,0.577076,-1495.2,-2.32873,-1497.53,3
44,1.09149,-1857.35,-2.30388,-1859.66,3
45,0.9124,-1629.84,-2.31619,-1632.16,3
46,0.55468,-1496.04,-2.32997,-1498.37,3
47,1.09129,-2336.81,-4.61525,-2341.43,4
