index,forest_length,likelihood,prior,posterior,leaves
0,0.892849,-2449.03,-13.9195,-2462.95,"{t2|t3|t4}|{t1}"
1,0.510745,-2189.92,-13.9276,-2203.84,"{t1|t2|t4}|{t3}"
2,0.951046,-2338.14,-13.9221,-2352.06,"{t3|t4}|{t1|t2}"
3,0.615043,-2188.6,-13.9364,-2202.53,"{t1|t2|t4}|{t3}"
4,0.89842,-2323.15,-13.9291,-2337.08,"{t1|t2|t3}|{t4}"
5,0.983073,-2323.33,-13.9336,-2337.27,"{t1|t2|t3}|{t4}"
6,1.09217,-2550.78,-13.9252,-2564.71,"{t1|t3|t4}|{t2}"
7,0.623012,-2189.36,-13.9266,-2203.29,"{t1|t2|t4}|{t3}"
8,0.838947,-2323.83,-13.922,-2337.75,"{t1|t2|t3}|{t4}"
9,1.23964,-2549.78,-13.9402,-2563.72,"{t1|t3|t4}|{t2}"
10,0.882438,-2323.95,-13.9231,-2337.87,"{t1|t2|t3}|{t4}"
11,1.1908,-2551.17,-13.9359,-2565.11,"{t1|t3|t4}|{t2}"
12,0.840976,-2323.89,-13.9169,-2337.81,"{t1|t2|t3}|{t4}"
13,1.13821,-2553.45,-13.932,-2567.38,"{t1|t3|t4}|{t2}"
14,1.19409,-2549.61,-13.9368,-2563.54,"{t1|t3|t4}|{t2}"
15,1.02468,-2336.27,-13.9314,-2350.2,"{t3|t4}|{t1|t2}"
16,1.09924,-2551.22,-13.9279,-2565.14,"{t1|t3|t4}|{t2}"
17,0.576153,-2188.22,-13.9264,-2202.15,"{t1|t2|t4}|{t3}"
18,0.861281,-2448.97,-13.9212,-2462.9,"{t2|t3|t4}|{t1}"
19,0.578164,-2188.75,-13.9351,-2202.69,"{t1|t2|t4}|{t3}"
20,0.925904,-2448.14,-13.93,-2462.07,"{t2|t3|t4}|{t1}"
21,1.08126,-2552.92,-13.9242,-2566.85,"{t1|t3|t4}|{t2}"
22,1.00405,-2336.16,-13.9294,-2350.09,"{t3|t4}|{t1|t2}"
23,0.922042,-2450.08,-13.9287,-2464.01,"{t2|t3|t4}|{t1}"
24,1.13899,-2551.1,-13.9331,-2565.03,"{t1|t3|t4}|{t2}"
25,0.97662,-2447.03,-13.9323,-2460.97,"{t2|t3|t4}|{t1}"
26,0.544501,-2189.45,-13.9251,-2203.37,"{t1|t2|t4}|{t3}"
27,1.24135,-2550.29,-13.9403,-2564.23,"{t1|t3|t4}|{t2}"
28,0.931358,-2323.24,-13.9303,-2337.17,"{t1|t2|t3}|{t4}"
29,0.966944,-2448.09,-13.9354,-2462.02,"{t2|t3|t4}|{t1}"
30,0.868824,-2338.72,-13.9179,-2352.64,"{t3|t4}|{t1|t2}"
31,0.565645,-2190.72,-13.9316,-2204.65,"{t1|t2|t4}|{t3}"
32,0.918015,-2447.72,-13.9263,-2461.65,"{t2|t3|t4}|{t1}"
33,0.845948,-2450.39,-13.9202,-2464.31,"{t2|t3|t4}|{t1}"
34,0.978791,-2447.21,-13.9329,-2461.15,"{t2|t3|t4}|{t1}"
35,0.952054,-2447.14,-13.928,-2461.07,"{t2|t3|t4}|{t1}"
36,0.902956,-2322.74,-13.9302,-2336.67,"{t1|t2|t3}|{t4}"
37,0.657154,-2191.81,-13.9381,-2205.75,"{t1|t2|t4}|{t3}"
38,0.848702,-2324.81,-13.9232,-2338.73,"{t1|t2|t3}|{t4}"
39,0.991523,-2336.35,-13.9293,-2350.27,"{t3|t4}|{t1|t2}"
40,0.582898,-2188.35,-13.9336,-2202.28,"{t1|t2|t4}|{t3}"
41,0.988248,-2336.23,-13.9267,-2350.15,"{t3|t4}|{t1|t2}"
42,0.473316,-2191.95,-13.9252,-2205.88,"{t1|t2|t4}|{t3}"
